City,Weather,MaxTemp,MinTemp,ComfortIndex,RainProb
臺北市,多雲午後短暫雷陣雨,30,31,悶熱至易中暑,34
臺北市,多雲時陰,20,27,悶熱,31
臺北市,多雲,20,27,悶熱至易中暑,35
